publication_number,country,doc_number,kind,title,abstract,inventors,applicants,inventors_count,applicants_count,inpadoc_family_size,inpadoc_jurisdictions_count,inpadoc_jurisdiction_list,inpadoc_family_members
US2025270292A1,US,2025270292,A1,THERAPEUTIC VARIANT ALPHA-2-MACROGLOBULIN COMPOSITIONS,"A2M polypeptide compositions containing a non-natural bait region are disclosed. Methods of producing wild-type and variant A2M polypeptides and polynucleotides containing a non-natural bait region are also disclosed. The bait regions of the variant A2M polypeptides demonstrate enhanced protease inhibitory characteristics compared to wild-type A2M. Variant A2M polypeptides that demonstrate longer half-lives upon administration to an organism compared to wild-type A2M are disclosed. The A2M compositions are useful in treating a number of diseases and conditions including inflammation, chronic wounds, and diseases with a pathology associated with proteases.","HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, Lewis, || LAUGHLIN, John David, || BROWNING, Shawn Robert",CYTONICS CORP [US] || Cytonics Corporation,6,2,22,6,US || AU || AU || CA || EP || EP || EP || JP || JP || JP || JP || US || US || US || US || US || US || US || US || US || WO || WO,US2025270292A1 || AU2015349782A1 || AU2015349782B2 || CA2967973A1 || EP3221341A2 || EP3221341A4 || EP3221341B1 || JP2018501207A || JP6861152B2 || JP2021080282A || JP7166022B2 || US2017355749A1 || US10400028B2 || US2019359690A1 || US2020148748A9 || US10889631B2 || US2021147511A1 || US11634475B2 || US2023250154A1 || US12195521B2 || WO2016081834A2 || WO2016081834A3
US2025205319A1,US,2025205319,A1,"SYSTEMS, COMPOSITIONS, AND METHODS FOR TRANSPLANTATION","Systems and methods for purification and concentration of autologous alpha-2-macroglobulin (A2M) from whole blood are provided. Also provided are diagnostic methods for identifying sites in the synovial joints, spine, tendons or ligaments for treatment of pain, degeneration, or inflammation with autologous A2M. Methods for utilizing autologous A2M in combination with other autologous treatments (e.g. platelets and other growth factors) are provided in addition to combinations with exogenous drugs or carriers. Also provided is a method of producing recombinant A2M wild type or variants thereof where the bait region was modified to enhance the inhibition characteristics of A2M and/or to prolong the half life of the protein in joints and spine disc or epidural space.","HANNA LEWIS [US] || LAUGHLIN JOHN DAVID [US] || BROWNING SHAWN ROBERT [US] || HANNA, Lewis, || LAUGHLIN, John David, || BROWNING, Shawn Robert",CYTONICS CORP [US] || Cytonics Corporation,6,2,26,6,US || AU || AU || CA || CA || CA || EP || EP || EP || GB || GB || GB || GB || GB || GB || GB || GB || GB || US || US || US || US || US || US || US || WO,US2025205319A1 || AU2013222414A1 || AU2013222414B2 || CA2865170A1 || CA2865170C || CA3095010A1 || EP2827882A1 || EP2827882A4 || EP2827882B1 || GB201306788D0 || GB2501611A || GB2501611B || GB201315212D0 || GB2503131A || GB2503131B || GB201502417D0 || GB2522561A || GB2522561B || US2015174221A1 || US10265388B2 || US2019046617A1 || US10940189B2 || US2019290741A1 || US11040092B2 || US2021268078A1 || WO2013126587A1
NZ740279A,NZ,740279,A,Methods for diagnosing and evaluating non-alcoholic steatohepatitis,"The invention relates to a method for the diagnosis of non-alcoholic steatohepatitis (NASH), for determining the activity, the stage, or the severity of NASH or for classifying a subject as a potential receiver or non receiver of a treatment of NASH using circulating miRNAs and other bood circulating markers of liver damage, e.g. alpha 2 macroglobulin, HbA1c, N-terminal pro-peptide of collagen type III, miR-34 and miR-200. It also relates to a kit for implementing the method of the invention, and the compounds for use in a method for the treatment of NASH, wherein the subject to be treated is identified, evaluated or classified according to the method of the invention.","DARTEIL RAPHAËL || CORDONNIER GENEVIÈVE || BROZEK JOHN || PRACA EMILIE || BEN SUDRIK FOUAD || Darteil, Raphaël, || Cordonnier, Geneviève, || Brozek, John, || Praca, Emilie, || Ben Sudrik, Fouad",GENFIT || GENFIT,10,2,37,20,NZ || AU || AU || CA || CN || CN || DK || DK || EA || EP || EP || EP || EP || ES || ES || FI || HK || HU || HU || IL || IL || IL || JP || JP || JP || JP || KR || KR || MX || PH || PT || PT || US || US || US || WO || ZA,NZ740279A || AU2016323380A1 || AU2016323380B2 || CA2997336A1 || CN108138232A || CN108138232B || DK3350341T3 || DK3712279T3 || EA201890724A1 || EP3350341A1 || EP3350341B1 || EP3712279A1 || EP3712279B1 || ES2891347T3 || ES2980812T3 || FI3712279T3 || HK1255351A1 || HUE056299T2 || HUE067269T2 || IL257680A || IL257680B || IL257680B2 || JP2018534542A || JP6947721B2 || JP2021144048A || JP7274523B2 || KR20180049098A || KR102786998B1 || MX2018003077A || PH12018500513A1 || PT3350341T || PT3712279T || US2018265924A1 || US11371098B2 || US2022411874A1 || WO2017046181A1 || ZA201801630B
NZ746485A,NZ,746485,A,Non-invasive diagnostic of non-alcoholic steatohepatitis,"The invention relates to a method for the diagnosis of non-alcoholic steatohepatitis (NASH), and for classifying a subject as a potential receiver of a treatment for NASH, based on hsa-miR-34a, YKL-40, alpha 2 macroglobulin, and HbA1c concentration in blood, serum, or plasma.","CORDONNIER GENEVIÈVE || BROZEK JOHN || PRACA EMILIE || DARTEIL RAPHAËL || BEN SUDRIK FOUAD || Cordonnier, Geneviève, || Brozek, John, || Praca, Emilie, || Darteil, Raphaël, || Ben Sudrik, Fouad",GENFIT || GENFIT,10,2,31,16,NZ || AU || AU || AU || AU || BR || CA || CN || CN || EA || EP || EP || EP || EP || IL || IL || IL || JP || JP || JP || KR || KR || MX || NZ || PH || SG || US || US || US || WO || ZA,NZ746485A || AU2017242818A1 || AU2017242818B2 || AU2023201802A1 || AU2023201802B2 || BR112018069560A2 || CA3018133A1 || CN109072302A || CN109072302B || EA201892201A1 || EP3436600A1 || EP3436600B1 || EP3436600C0 || EP3985126A1 || IL261814A || IL261814B1 || IL261814B2 || JP2019511225A || JP7418959B2 || JP2022078250A || KR20180132092A || KR102646698B1 || MX2018011633A || NZ784641A || PH12018502057A1 || SG11201808192RA || US2019352715A1 || US12104209B2 || US2024410010A1 || WO2017167934A1 || ZA201807083B
US2025032683A1,US,2025032683,A1,SYSTEM AND METHOD FOR AGGREGATION AND AUTOLOGOUS USE OF ALPHA 2M MOLECULES TO TREAT RESPIRATORY CONDITIONS,A method for treating a respiratory condition of a patient with at least Alpha-2 Macroglobulin (α2M) molecules includes: drawing whole blood; separating platelet poor plasma (PPP) containing α2M molecules from other components of the whole blood; filtering waste plasma from the PPP to generate an aggregate of the α2M molecules; and administering at least some of the aggregate to the patient via inhalation.,"DREYFUSS DANIEL J [US] || CRAMER WILLIAM J [US] || DUVALL MICHAEL D [US] || SHOEMAKER ROBERT S [US] || Dreyfuss, Daniel J, || Cramer, William J, || Duvall, Michael D, || Shoemaker, Robert S","ASTARIA GLOBAL LLC [US] || Astaria Global, LLC",8,2,14,4,US || EP || EP || GB || GB || US || US || US || US || US || US || WO || WO || WO,US2025032683A1 || EP4329836A1 || EP4329836A4 || GB202318382D0 || GB2621952A || US2022395624A1 || US11833279B2 || US2023338628A1 || US2024100229A1 || US2024197969A1 || US2025025610A1 || WO2022261407A1 || WO2024238027A1 || WO2024238028A1
US2025025610A1,US,2025025610,A1,SYSTEM AND METHOD FOR ALLOGENEIC OR XENOGENEIC USE OF ALPHA 2M MOLECULES IN TREATING MEDICAL CONDITIONS,"A method for treating a medical condition of a patient with at least Alpha-2 Macroglobulin (α2M) molecules in an allogeneic or xenogeneic manner includes: drawing whole blood from a donor; separating platelet poor plasma (PPP) containing α2M molecules from other components of the whole blood; filtering waste plasma from the PPP to generate an aggregate of the α2M molecules; and administering at least some of the aggregate to the patient via injection or inhalation, wherein the donor and the patient are different individuals.","DREYFUSS DANIEL J [US] || CRAMER WILLIAM J [US] || DUVALL MICHAEL D [US] || SHOEMAKER ROBERT S [US] || Dreyfuss, Daniel J, || Cramer, William J, || Duvall, Michael D, || Shoemaker, Robert S","ASTARIA GLOBAL LLC [US] || Astaria Global, LLC",8,2,14,4,US || EP || EP || GB || GB || US || US || US || US || US || US || WO || WO || WO,US2025025610A1 || EP4329836A1 || EP4329836A4 || GB202318382D0 || GB2621952A || US2022395624A1 || US11833279B2 || US2023338628A1 || US2024100229A1 || US2024197969A1 || US2025032683A1 || WO2022261407A1 || WO2024238027A1 || WO2024238028A1
US2024424056A1,US,2024424056,A1,Peptides for Anti Fibrotic Therapy,"A method of treating or inhibiting the development of fibrosis in a subject is provided. The method comprises administering to the subject a therapeutically effective amount of an entity that disrupts the interaction between activated alpha 2-macroglobulin (α2M*) and cell surface 78 kDa glucose regulated protein csGRP78. In one embodiment, administration of novel peptides that block activated α2-macroglobulin (α2M*) interaction with csGRP78 are provided.","KREPINSKY JOAN [CA] || TRINK JACKIE [CA] || KREPINSKY, Joan, || TRINK, Jackie",UNIV MCMASTER [CA] || McMaster University,4,2,7,6,US || CA || CN || EP || EP || JP || WO,US2024424056A1 || CA3226847A1 || CN117999279A || EP4373843A1 || EP4373843A4 || JP2024528740A || WO2023000109A1
WO2024238028A1,WO,2024238028,A1,SYSTEM AND METHOD FOR ALLOGENEIC OR XENOGENEIC USE OF α2M MOLECULES IN TREATING MEDICAL CONDITIONS,"A method for treating a medical condition of a patient with Alpha-2 Macroglobulin ( α2M) molecules in an allogeneic or xenogeneic manner, the method includes: drawing whole blood from a donor; separating plasma containing α2M molecules from other components of the whole blood; isolating the α2M molecules from the other components of the plasma; and administering at least some of the isolated α2M molecules to the patient via injection or inhalation, wherein the donor and the patient are different individuals.","DREYFUSS DANIEL [US] || SHOEMAKER ROBERT [US] || CRAMER WILLIAM [US] || DUVALL MICHAEL [US] || DREYFUSS, Daniel, || SHOEMAKER, Robert, || CRAMER, William, || DUVALL, Michael","ASTARIA GLOBAL LLC [US] || ASTARIA GLOBAL, LLC",8,2,14,4,WO || EP || EP || GB || GB || US || US || US || US || US || US || US || WO || WO,WO2024238028A1 || EP4329836A1 || EP4329836A4 || GB202318382D0 || GB2621952A || US2022395624A1 || US11833279B2 || US2023338628A1 || US2024100229A1 || US2024197969A1 || US2025025610A1 || US2025032683A1 || WO2022261407A1 || WO2024238027A1
WO2024238027A1,WO,2024238027,A1,SYSTEM AND METHOD FOR ISOLATION AND AUTOLOGOUS USE OF α2M MOLECULES TO TREAT RESPIRATORY CONDITIONS,"A method for treating a respiratory condition of a patient with Alpha-2 Macroglobulin (α2M) molecules includes drawing whole blood, separating plasma containing α2M molecules from other components of the whole blood, isolating the α2M molecules from the other components of the plasma, and administering at least some of the isolated α2M molecules to the patient via inhalation.","DREYFUSS DANIEL [US] || SHOEMAKER ROBERT [US] || CRAMER WILLIAM [US] || DUVALL MICHAEL [US] || DREYFUSS, Daniel, || SHOEMAKER, Robert, || CRAMER, William, || DUVALL, Michael","ASTARIA GLOBAL LLC [US] || ASTARIA GLOBAL, LLC",8,2,14,4,WO || EP || EP || GB || GB || US || US || US || US || US || US || US || WO || WO,WO2024238027A1 || EP4329836A1 || EP4329836A4 || GB202318382D0 || GB2621952A || US2022395624A1 || US11833279B2 || US2023338628A1 || US2024100229A1 || US2024197969A1 || US2025025610A1 || US2025032683A1 || WO2022261407A1 || WO2024238028A1
US2024374745A1,US,2024374745,A1,BIOPHARMACEUTICAL PRODRUG PLATFORM BASED ON PROTEIN CONFORMATIONAL CHANGE,"The present invention relates to proteinaceous prodrug constructs, e.g., proteinaceous fusion constructs that comprise a complement 3- and pregnancy zone protein-like, alpha-2-macroglobulin domain-containing (CPAMD) protein (e.g., A2M) and one or more drugs and function as protease-activatable prodrugs.","HARWOOD SEANDEAN LYKKE [DK] || ENGHILD JAN JOHANNES [DK] || Harwood, Seandean Lykke, || Enghild, Jan Johannes",UNIV AARHUS [DK] || Aarhus Universitet,4,2,6,6,US || AU || CN || EP || JP || WO,US2024374745A1 || AU2023211165A1 || CN118613501A || EP4473007A1 || JP2025505434A || WO2023144412A1
